Claim_ID,Customer_ID,Vehicle_ID,Claim_Date,Claim_Amount,Claim_Type
138,3637,3637,2025-04-07,10000,1
139,3653,3653,2025-07-28,10000,1
140,3685,3685,2025-12-21,10000,1
141,3702,3702,2025-10-28,10000,1
142,3736,3736,2025-03-28,10000,1
143,3768,3768,2025-11-14,10000,1
144,3773,3773,2025-09-21,10000,1
145,3839,3839,2025-10-14,10000,1
146,3840,3840,2025-04-14,10000,1
147,3869,3869,2025-07-07,10000,1
148,3900,3900,2025-12-07,10000,1
149,3901,3901,2025-02-07,10000,1
150,3995,3995,2025-12-21,10000,1
151,4001,4001,2025-08-21,10000,1
152,4002,4002,2025-11-28,10000,1
153,4010,4010,2025-03-14,10000,1
154,4022,4022,2025-02-07,10000,1
155,4045,4045,2025-05-21,10000,1
156,4079,4079,2025-08-07,10000,1
157,4126,4126,2025-02-14,10000,1
158,4169,4169,2025-01-14,10000,1
159,4182,4182,2025-02-21,10000,1
160,4196,4196,2025-12-21,10000,1
161,4202,4202,2025-08-14,10000,1
162,4211,4211,2025-10-14,10000,1
163,4225,4225,2025-10-28,10000,1
164,4352,4352,2025-04-07,10000,1
165,4364,4364,2025-06-21,10000,1
166,4368,4368,2025-04-07,10000,1
167,4376,4376,2025-12-21,10000,1
168,4495,4495,2025-01-28,10000,1
169,4499,4499,2025-06-14,10000,1
170,4522,4522,2025-07-21,10000,1
171,4556,4556,2025-01-07,10000,1
172,4605,4605,2025-09-28,10000,1
173,4614,4614,2025-06-07,10000,1
174,4621,4621,2025-12-21,10000,1
175,4642,4642,2025-12-21,10000,1
176,4656,4656,2025-12-07,10000,1
177,4664,4664,2025-02-21,10000,1
178,4701,4701,2025-03-14,10000,1
179,4710,4710,2025-06-14,10000,1
180,4728,4728,2025-05-14,10000,1
181,4752,4752,2025-01-14,10000,1
182,4799,4799,2025-05-14,10000,1
183,4806,4806,2025-02-14,10000,1
184,4855,4855,2025-10-14,10000,1
185,4859,4859,2025-05-28,10000,1
186,4878,4878,2025-01-07,10000,1
187,4886,4886,2025-01-14,10000,1
188,4887,4887,2025-01-07,10000,1
189,4896,4896,2025-08-21,10000,1
190,4901,4901,2025-03-07,10000,1
191,4904,4904,2025-11-07,10000,1
192,4914,4914,2025-05-28,10000,1
193,4923,4923,2025-08-14,10000,1
194,4946,4946,2025-09-14,10000,1
195,5002,5002,2025-01-14,10000,1
196,5058,5058,2025-11-07,10000,1
197,5062,5062,2025-07-07,10000,1
198,5068,5068,2025-10-21,10000,1
199,5151,5151,2025-06-14,10000,1
200,5160,5160,2025-08-14,10000,1
201,5191,5191,2025-03-07,10000,1
202,5225,5225,2025-06-28,10000,1
203,5240,5240,2025-02-28,10000,1
204,5243,5243,2025-08-21,10000,1
205,5255,5255,2025-08-21,10000,1
206,5275,5275,2025-04-07,10000,1
207,5276,5276,2025-05-28,10000,1
208,5278,5278,2025-07-21,10000,1
209,5301,5301,2025-06-28,10000,1
210,5308,5308,2025-10-07,10000,1
211,5312,5312,2025-09-21,10000,1
212,5327,5327,2025-10-21,10000,1
213,5332,5332,2025-12-07,10000,1
214,5345,5345,2025-10-07,10000,1
215,5378,5378,2025-06-14,10000,1
216,5436,5436,2025-06-28,10000,1
217,5452,5452,2025-06-14,10000,1
218,5462,5462,2025-02-07,10000,1
219,5493,5493,2025-06-14,10000,1
220,5495,5495,2025-02-14,10000,1
221,5522,5522,2025-04-21,10000,1
222,5528,5528,2025-04-07,10000,1
223,5529,5529,2025-11-21,10000,1
224,5558,5558,2025-04-28,10000,1
225,5572,5572,2025-12-14,10000,1
226,5576,5576,2025-11-07,10000,1
227,5578,5578,2025-01-28,10000,1
228,5605,5605,2025-10-21,10000,1
229,5614,5614,2025-11-07,10000,1
230,5620,5620,2025-06-14,10000,1
231,5656,5656,2025-07-14,10000,1
232,5669,5669,2025-08-28,10000,1
233,5736,5736,2025-01-21,10000,1
234,5743,5743,2025-02-14,10000,1
235,5765,5765,2025-02-07,10000,1
236,5771,5771,2025-10-14,10000,1
237,5772,5772,2025-01-21,10000,1
238,5785,5785,2025-04-21,10000,1
239,5786,5786,2025-02-07,10000,1
240,5890,5890,2025-08-28,10000,1
241,5892,5892,2025-05-28,10000,1
242,5933,5933,2025-12-21,10000,1
243,5949,5949,2025-10-14,10000,1
244,6015,6015,2025-06-14,10000,1
245,6052,6052,2025-08-21,10000,1
246,6065,6065,2025-12-14,10000,1
247,6108,6108,2025-11-14,10000,1
248,6121,6121,2025-04-21,10000,1
249,6141,6141,2025-10-07,10000,1
250,6156,6156,2025-01-21,10000,1
251,6162,6162,2025-06-14,10000,1
252,6173,6173,2025-05-21,10000,1
253,6208,6208,2025-09-14,10000,1
254,6222,6222,2025-09-21,10000,1
255,6249,6249,2025-11-21,10000,1
256,6309,6309,2025-01-14,10000,1
257,6333,6333,2025-05-14,10000,1
258,6381,6381,2025-11-21,10000,1
259,6412,6412,2025-02-14,10000,1
260,6429,6429,2025-03-21,10000,1
261,6430,6430,2025-03-21,10000,1
262,6473,6473,2025-06-21,10000,1
263,6477,6477,2025-03-14,10000,1
264,6516,6516,2025-03-28,10000,1
265,6573,6573,2025-01-28,10000,1
266,6578,6578,2025-09-07,10000,1
267,6581,6581,2025-02-21,10000,1
268,6611,6611,2025-06-21,10000,1
269,6630,6630,2025-05-21,10000,1
270,6639,6639,2025-08-07,10000,1
271,6651,6651,2025-08-07,10000,1
272,6659,6659,2025-09-21,10000,1
273,6740,6740,2025-05-21,10000,1
274,6777,6777,2025-04-14,10000,1
275,6786,6786,2025-04-28,10000,1
276,6790,6790,2025-07-21,10000,1
277,6795,6795,2025-01-14,10000,1
278,6797,6797,2025-05-28,10000,1
279,6815,6815,2025-04-21,10000,1
280,6840,6840,2025-10-07,10000,1
281,6858,6858,2025-08-07,10000,1
282,6862,6862,2025-04-07,10000,1
283,6878,6878,2025-06-07,10000,1
284,6904,6904,2025-06-14,10000,1
285,6940,6940,2025-06-07,10000,1
286,6955,6955,2025-02-14,10000,1
287,6958,6958,2025-09-21,10000,1
288,6966,6966,2025-02-14,10000,1
289,6975,6975,2025-12-14,10000,1
290,6989,6989,2025-07-07,10000,1
291,7006,7006,2025-02-07,10000,1
292,7040,7040,2025-06-28,10000,1
293,7074,7074,2025-02-14,10000,1
294,7096,7096,2025-01-07,10000,1
295,7114,7114,2025-09-14,10000,1
296,7129,7129,2025-05-14,10000,1
297,7158,7158,2025-10-14,10000,1
298,7162,7162,2025-09-14,10000,1
299,7172,7172,2025-11-28,10000,1
300,7211,7211,2025-05-14,10000,1
301,7213,7213,2025-04-28,10000,1
302,7216,7216,2025-03-28,10000,1
303,7239,7239,2025-04-14,10000,1
304,7295,7295,2025-08-14,10000,1
305,7326,7326,2025-01-28,10000,1
306,7353,7353,2025-09-07,10000,1
307,7358,7358,2025-08-14,10000,1
308,7379,7379,2025-03-28,10000,1
309,7402,7402,2025-08-07,10000,1
310,7407,7407,2025-08-28,10000,1
311,7415,7415,2025-10-21,10000,1
312,7418,7418,2025-08-07,10000,1
313,7427,7427,2025-08-14,10000,1
314,7430,7430,2025-11-21,10000,1
315,7458,7458,2025-03-28,10000,1
316,7462,7462,2025-08-07,10000,1
317,7496,7496,2025-10-28,10000,1
318,7497,7497,2025-02-28,10000,1
319,7511,7511,2025-05-07,10000,1
320,7529,7529,2025-11-14,10000,1
321,7535,7535,2025-07-28,10000,1
322,7602,7602,2025-07-14,10000,1
323,7635,7635,2025-12-07,10000,1
324,7661,7661,2025-01-28,10000,1
325,7668,7668,2025-02-14,10000,1
326,7685,7685,2025-07-21,10000,1
327,7726,7726,2025-01-28,10000,1
328,7749,7749,2025-04-14,10000,1
329,7766,7766,2025-02-21,10000,1
330,7772,7772,2025-01-28,10000,1
331,7815,7815,2025-01-07,10000,1
332,7816,7816,2025-10-14,10000,1
333,7822,7822,2025-06-07,10000,1
334,7828,7828,2025-09-14,10000,1
335,7859,7859,2025-06-07,10000,1
336,7866,7866,2025-02-14,10000,1
337,7904,7904,2025-06-28,10000,1
338,7942,7942,2025-11-14,10000,1
339,8034,8034,2025-06-21,10000,1
340,8037,8037,2025-09-21,10000,1
341,8124,8124,2025-06-14,10000,1
342,8226,8226,2025-06-28,10000,1
343,8245,8245,2025-06-28,10000,1
344,8288,8288,2025-12-14,10000,1
345,8292,8292,2025-12-28,10000,1
346,8314,8314,2025-06-07,10000,1
347,8327,8327,2025-06-28,10000,1
348,8342,8342,2025-03-28,10000,1
349,8377,8377,2025-12-21,10000,1
350,8389,8389,2025-02-21,10000,1
351,8412,8412,2025-08-07,10000,1
352,8424,8424,2025-04-28,10000,1
353,8426,8426,2025-05-14,10000,1
354,8434,8434,2025-09-07,10000,1
355,8439,8439,2025-08-14,10000,1
356,8455,8455,2025-03-07,10000,1
357,8463,8463,2025-08-21,10000,1
358,8482,8482,2025-04-14,10000,1
359,8492,8492,2025-03-28,10000,1
360,8539,8539,2025-08-14,10000,1
361,8555,8555,2025-03-14,10000,1
362,8585,8585,2025-02-28,10000,1
363,8611,8611,2025-07-28,10000,1
364,8612,8612,2025-11-28,10000,1
365,8624,8624,2025-11-28,10000,1
366,8647,8647,2025-02-14,10000,1
367,8652,8652,2025-04-28,10000,1
368,8663,8663,2025-05-21,10000,1
369,8686,8686,2025-09-21,10000,1
370,8719,8719,2025-12-07,10000,1
371,8731,8731,2025-02-21,10000,1
372,8745,8745,2025-05-07,10000,1
373,8753,8753,2025-05-28,10000,1
374,8774,8774,2025-02-14,10000,1
375,8777,8777,2025-09-14,10000,1
376,8785,8785,2025-06-14,10000,1
377,8834,8834,2025-03-28,10000,1
378,8867,8867,2025-11-07,10000,1
379,9010,9010,2025-01-14,10000,1
380,9030,9030,2025-05-07,10000,1
381,9072,9072,2025-04-21,10000,1
382,9104,9104,2025-08-21,10000,1
383,9106,9106,2025-09-07,10000,1
384,9153,9153,2025-10-07,10000,1
385,9157,9157,2025-02-07,10000,1
386,9166,9166,2025-11-07,10000,1
387,9172,9172,2025-03-28,10000,1
388,9207,9207,2025-01-07,10000,1
389,9356,9356,2025-08-21,10000,1
390,9382,9382,2025-03-21,10000,1
391,9384,9384,2025-12-07,10000,1
392,9405,9405,2025-08-07,10000,1
393,9415,9415,2025-06-14,10000,1
394,9450,9450,2025-01-14,10000,1
395,9464,9464,2025-07-28,10000,1
396,9509,9509,2025-06-07,10000,1
397,9528,9528,2025-01-14,10000,1
398,9538,9538,2025-03-28,10000,1
399,9539,9539,2025-04-14,10000,1
400,9550,9550,2025-06-28,10000,1
401,9573,9573,2025-08-07,10000,1
402,9588,9588,2025-09-14,10000,1
403,9590,9590,2025-01-14,10000,1
404,9601,9601,2025-06-14,10000,1
405,9604,9604,2025-11-07,10000,1
406,9609,9609,2025-05-14,10000,1
407,9614,9614,2025-11-21,10000,1
408,9625,9625,2025-04-14,10000,1
409,9652,9652,2025-10-07,10000,1
410,9669,9669,2025-03-07,10000,1
411,9679,9679,2025-12-21,10000,1
412,9690,9690,2025-01-21,10000,1
413,9702,9702,2025-02-14,10000,1
414,9727,9727,2025-04-21,10000,1
415,9756,9756,2025-09-14,10000,1
416,9787,9787,2025-08-21,10000,1
417,9816,9816,2025-04-07,10000,1
418,9818,9818,2025-04-28,10000,1
419,9868,9868,2025-02-28,10000,1
420,9876,9876,2025-09-07,10000,1
421,9929,9929,2025-02-14,10000,1
422,9941,9941,2025-01-07,10000,1
423,9975,9975,2025-05-28,10000,1
424,10010,10010,2025-01-07,10000,1
425,10037,10037,2025-12-14,10000,1
426,10055,10055,2025-04-07,10000,1
427,10067,10067,2025-08-21,10000,1
428,10090,10090,2025-01-28,10000,1
429,10091,10091,2025-01-28,10000,1
430,10095,10095,2025-04-28,10000,1
431,10096,10096,2025-10-21,10000,1
432,10157,10157,2025-12-07,10000,1
433,10168,10168,2025-11-21,10000,1
434,10171,10171,2025-05-07,10000,1
435,10244,10244,2025-05-28,10000,1
436,10262,10262,2025-03-21,10000,1
437,10264,10264,2025-01-07,10000,1
438,10272,10272,2025-09-14,10000,1
439,10282,10282,2025-09-07,10000,1
440,10288,10288,2025-04-21,10000,1
441,10316,10316,2025-11-14,10000,1
442,10329,10329,2025-09-14,10000,1
443,10376,10376,2025-09-28,10000,1
444,10389,10389,2025-01-07,10000,1
445,10399,10399,2025-12-28,10000,1
446,10444,10444,2025-09-14,10000,1
447,10454,10454,2025-08-07,10000,1
448,10457,10457,2025-07-07,10000,1
449,10466,10466,2025-06-21,10000,1
450,10475,10475,2025-07-07,10000,1
451,10501,10501,2025-04-14,10000,1
452,10514,10514,2025-12-07,10000,1
453,10523,10523,2025-12-21,10000,1
454,10528,10528,2025-05-14,10000,1
455,10549,10549,2025-01-28,10000,1
456,10560,10560,2025-04-14,10000,1
457,10619,10619,2025-05-28,10000,1
458,10624,10624,2025-10-28,10000,1
459,10635,10635,2025-07-07,10000,1
460,10659,10659,2025-12-14,10000,1
461,10708,10708,2025-11-14,10000,1
462,10744,10744,2025-10-28,10000,1
463,10767,10767,2025-10-07,10000,1
464,10794,10794,2025-04-14,10000,1
465,10822,10822,2025-06-14,10000,1
466,10832,10832,2025-01-07,10000,1
467,10833,10833,2025-10-14,10000,1
468,10854,10854,2025-08-28,10000,1
469,10867,10867,2025-06-28,10000,1
470,10872,10872,2025-06-07,10000,1
471,10894,10894,2025-05-21,10000,1
472,10897,10897,2025-04-21,10000,1
473,10900,10900,2025-08-14,10000,1
474,10922,10922,2025-01-14,10000,1
475,10926,10926,2025-09-21,10000,1
476,10959,10959,2025-07-14,10000,1
477,10967,10967,2025-08-28,10000,1
478,10983,10983,2025-11-07,10000,1
479,11000,11000,2025-02-21,10000,1
480,11010,11010,2025-03-14,10000,1
481,11068,11068,2025-11-07,10000,1
482,11130,11130,2025-08-14,10000,1
483,11136,11136,2025-06-28,10000,1
484,11165,11165,2025-05-14,10000,1
485,11210,11210,2025-08-14,10000,1
486,11301,11301,2025-09-21,10000,1
487,11306,11306,2025-07-14,10000,1
488,11309,11309,2025-01-21,10000,1
489,11311,11311,2025-10-28,10000,1
490,11468,11468,2025-04-28,10000,1
491,11469,11469,2025-11-28,10000,1
492,11483,11483,2025-09-21,10000,1
493,11503,11503,2025-04-21,10000,1
494,11587,11587,2025-08-28,10000,1
495,11598,11598,2025-05-28,10000,1
496,11602,11602,2025-09-28,10000,1
497,11613,11613,2025-08-28,10000,1
498,11666,11666,2025-05-07,10000,1
499,11678,11678,2025-11-21,10000,1
500,11699,11699,2025-06-21,10000,1
501,11723,11723,2025-01-21,10000,1
502,11727,11727,2025-08-07,10000,1
503,11730,11730,2025-01-28,10000,1
504,11741,11741,2025-05-07,10000,1
505,11750,11750,2025-12-07,10000,1
506,11760,11760,2025-12-21,10000,1
507,11771,11771,2025-06-21,10000,1
508,11781,11781,2025-11-14,10000,1
509,11806,11806,2025-12-28,10000,1
510,11814,11814,2025-11-28,10000,1
511,11851,11851,2025-07-28,10000,1
512,11871,11871,2025-06-28,10000,1
513,11936,11936,2025-08-07,10000,1
514,11949,11949,2025-10-14,10000,1
515,11965,11965,2025-08-21,10000,1
516,12001,12001,2025-03-28,10000,1
517,12005,12005,2025-06-28,10000,1
518,12077,12077,2025-07-28,10000,1
519,12133,12133,2025-02-07,10000,1
520,12155,12155,2025-08-07,10000,1
521,12184,12184,2025-10-21,10000,1
522,12185,12185,2025-02-28,10000,1
523,12194,12194,2025-05-07,10000,1
524,12195,12195,2025-01-21,10000,1
525,12199,12199,2025-07-21,10000,1
526,12233,12233,2025-09-21,10000,1
527,12236,12236,2025-09-07,10000,1
528,12308,12308,2025-11-28,10000,1
529,12354,12354,2025-07-07,10000,1
530,12355,12355,2025-07-21,10000,1
531,12390,12390,2025-07-14,10000,1
532,12418,12418,2025-12-28,10000,1
533,12429,12429,2025-04-14,10000,1
534,12432,12432,2025-12-07,10000,1
535,12455,12455,2025-11-28,10000,1
536,12545,12545,2025-08-28,10000,1
537,12563,12563,2025-08-07,10000,1
538,12570,12570,2025-04-21,10000,1
539,12571,12571,2025-10-21,10000,1
540,12575,12575,2025-03-28,10000,1
541,12582,12582,2025-03-07,10000,1
542,12586,12586,2025-02-07,10000,1
543,12626,12626,2025-04-28,10000,1
544,12657,12657,2025-07-14,10000,1
545,12675,12675,2025-06-14,10000,1
546,12686,12686,2025-06-14,10000,1
547,12699,12699,2025-06-28,10000,1
548,12711,12711,2025-12-07,10000,1
549,12714,12714,2025-04-21,10000,1
550,12748,12748,2025-01-28,10000,1
551,12753,12753,2025-08-28,10000,1
552,12775,12775,2025-04-28,10000,1
553,12797,12797,2025-11-07,10000,1
554,12820,12820,2025-12-14,10000,1
555,12842,12842,2025-08-21,10000,1
556,12848,12848,2025-12-21,10000,1
557,12862,12862,2025-12-21,10000,1
558,12884,12884,2025-01-28,10000,1
559,12891,12891,2025-08-07,10000,1
560,12938,12938,2025-07-28,10000,1
561,12975,12975,2025-05-07,10000,1
562,12992,12992,2025-01-07,10000,1
563,13016,13016,2025-10-14,10000,1
564,13038,13038,2025-12-28,10000,1
565,13045,13045,2025-07-28,10000,1
566,13072,13072,2025-11-21,10000,1
567,13078,13078,2025-07-07,10000,1
568,13096,13096,2025-08-14,10000,1
569,13123,13123,2025-05-07,10000,1
570,13160,13160,2025-10-07,10000,1
571,13185,13185,2025-03-21,10000,1
572,13206,13206,2025-03-07,10000,1
573,13212,13212,2025-07-28,10000,1
574,13225,13225,2025-12-21,10000,1
575,13245,13245,2025-06-28,10000,1
576,13248,13248,2025-07-21,10000,1
577,13257,13257,2025-09-28,10000,1
578,13291,13291,2025-02-21,10000,1
579,13313,13313,2025-09-07,10000,1
580,13324,13324,2025-12-07,10000,1
581,13326,13326,2025-01-07,10000,1
582,13335,13335,2025-04-28,10000,1
583,13352,13352,2025-02-28,10000,1
584,13357,13357,2025-12-28,10000,1
585,13370,13370,2025-11-07,10000,1
586,13410,13410,2025-02-28,10000,1
587,13413,13413,2025-06-14,10000,1
588,13435,13435,2025-08-28,10000,1
589,13447,13447,2025-01-21,10000,1
590,13463,13463,2025-09-28,10000,1
591,13470,13470,2025-01-21,10000,1
592,13506,13506,2025-01-07,10000,1
593,13514,13514,2025-03-07,10000,1
594,13551,13551,2025-06-21,10000,1
595,13556,13556,2025-10-07,10000,1
596,13566,13566,2025-01-21,10000,1
597,13572,13572,2025-04-21,10000,1
598,13624,13624,2025-06-14,10000,1
599,13628,13628,2025-07-14,10000,1
600,13645,13645,2025-08-14,10000,1
601,13682,13682,2025-06-14,10000,1
602,13693,13693,2025-08-28,10000,1
603,13722,13722,2025-08-21,10000,1
604,13733,13733,2025-03-14,10000,1
605,13764,13764,2025-10-28,10000,1
606,13792,13792,2025-08-28,10000,1
607,13797,13797,2025-07-21,10000,1
608,13828,13828,2025-01-21,10000,1
609,13829,13829,2025-08-07,10000,1
610,13837,13837,2025-09-14,10000,1
611,13847,13847,2025-04-21,10000,1
612,13894,13894,2025-02-07,10000,1
613,13912,13912,2025-05-07,10000,1
614,13964,13964,2025-09-21,10000,1
615,13965,13965,2025-06-21,10000,1
616,13971,13971,2025-01-07,10000,1
617,14065,14065,2025-08-07,10000,1
618,14072,14072,2025-08-14,10000,1
619,14125,14125,2025-01-14,10000,1
620,14153,14153,2025-06-14,10000,1
621,14183,14183,2025-07-07,10000,1
622,14202,14202,2025-04-21,10000,1
623,14210,14210,2025-07-14,10000,1
624,14218,14218,2025-06-21,10000,1
625,14295,14295,2025-06-07,10000,1
626,14306,14306,2025-09-21,10000,1
627,14344,14344,2025-05-07,10000,1
628,14347,14347,2025-03-21,10000,1
629,14349,14349,2025-04-07,10000,1
630,14361,14361,2025-08-14,10000,1
631,14388,14388,2025-07-07,10000,1
632,14389,14389,2025-03-14,10000,1
633,14431,14431,2025-10-21,10000,1
634,14455,14455,2025-08-28,10000,1
635,14462,14462,2025-01-07,10000,1
636,14524,14524,2025-05-21,10000,1
637,14549,14549,2025-10-21,10000,1
638,14559,14559,2025-10-14,10000,1
639,14599,14599,2025-04-07,10000,1
640,14616,14616,2025-09-07,10000,1
641,14630,14630,2025-07-07,10000,1
642,14639,14639,2025-11-07,10000,1
643,14650,14650,2025-05-21,10000,1
644,14675,14675,2025-07-28,10000,1
645,14680,14680,2025-12-21,10000,1
646,14684,14684,2025-08-14,10000,1
647,14749,14749,2025-06-28,10000,1
648,14788,14788,2025-02-07,10000,1
649,14813,14813,2025-05-07,10000,1
650,14846,14846,2025-12-14,10000,1
651,14948,14948,2025-10-14,10000,1
652,14984,14984,2025-07-21,10000,1
653,14989,14989,2025-09-14,10000,1
654,15068,15068,2025-07-28,10000,1
655,15101,15101,2025-04-14,10000,1
656,15130,15130,2025-12-14,10000,1
657,15134,15134,2025-08-21,10000,1
658,15151,15151,2025-03-21,10000,1
659,15217,15217,2025-07-28,10000,1
660,15225,15225,2025-12-21,10000,1
661,15226,15226,2025-10-28,10000,1
662,15229,15229,2025-02-28,10000,1
663,15258,15258,2025-12-21,10000,1
664,15274,15274,2025-10-28,10000,1
665,15279,15279,2025-06-07,10000,1
666,15283,15283,2025-05-14,10000,1
667,15295,15295,2025-03-14,10000,1
668,15334,15334,2025-06-14,10000,1
669,15339,15339,2025-01-21,10000,1
670,15346,15346,2025-02-28,10000,1
671,15355,15355,2025-12-07,10000,1
672,15367,15367,2025-07-28,10000,1
673,15392,15392,2025-12-28,10000,1
674,15409,15409,2025-07-21,10000,1
675,15414,15414,2025-03-28,10000,1
676,15452,15452,2025-06-14,10000,1
677,15471,15471,2025-05-21,10000,1
678,15493,15493,2025-03-28,10000,1
679,15501,15501,2025-01-21,10000,1
680,15532,15532,2025-12-21,10000,1
681,15537,15537,2025-11-28,10000,1
682,15557,15557,2025-06-21,10000,1
683,15560,15560,2025-06-21,10000,1
684,15598,15598,2025-10-21,10000,1
685,15684,15684,2025-10-07,10000,1
686,15690,15690,2025-07-28,10000,1
687,15699,15699,2025-01-14,10000,1
688,15758,15758,2025-07-07,10000,1
689,15774,15774,2025-05-14,10000,1
690,15777,15777,2025-03-14,10000,1
691,15779,15779,2025-07-07,10000,1
692,15827,15827,2025-07-28,10000,1
693,15837,15837,2025-11-21,10000,1
694,15859,15859,2025-03-21,10000,1
695,15880,15880,2025-03-07,10000,1
696,15896,15896,2025-05-28,10000,1
697,15972,15972,2025-06-21,10000,1
698,15976,15976,2025-04-14,10000,1
